,book_id,user_id,rating,user,book
0,1,314,5.0,1,0
1,1,439,3.0,3,0
2,1,588,5.0,4,0
3,1,1169,4.0,9,0
4,1,1185,4.0,10,0
5,1,2077,4.0,14,0
6,1,2487,4.0,18,0
7,1,2900,5.0,20,0
8,1,3662,4.0,27,0
9,1,3922,5.0,29,0
10,1,5379,5.0,36,0
11,1,5461,3.0,38,0
12,1,5885,5.0,41,0
13,1,6630,5.0,48,0
14,1,7563,3.0,54,0
15,1,9246,1.0,74,0
16,1,10140,4.0,84,0
17,1,10146,5.0,85,0
18,1,10246,4.0,86,0
19,1,10335,4.0,90,0
20,1,10610,5.0,93,0
21,1,10944,5.0,98,0
22,1,11854,4.0,111,0
23,1,11927,4.0,113,0
24,1,12471,5.0,120,0
25,1,13282,5.0,131,0
26,1,13544,5.0,135,0
27,1,15494,5.0,157,0
28,1,16377,4.0,166,0
29,1,16913,5.0,171,0
30,1,17434,5.0,177,0
31,1,17663,5.0,180,0
32,1,17984,5.0,183,0
33,1,18031,5.0,184,0
34,1,18313,5.0,189,0
35,1,18361,4.0,191,0
36,1,20076,3.0,204,0
37,1,20467,3.0,207,0
38,1,20848,5.0,209,0
39,1,21228,5.0,213,0
40,1,21487,4.0,214,0
41,1,21713,5.0,217,0
42,1,22602,4.0,227,0
43,1,23576,4.0,229,0
44,1,23612,4.0,231,0
45,1,24326,5.0,233,0
46,1,24389,4.0,234,0
47,1,24499,5.0,235,0
48,1,24834,4.0,238,0
49,1,24845,5.0,239,0
50,1,25164,4.0,242,0
51,1,25182,5.0,243,0
52,1,25214,4.0,244,0
53,1,26145,4.0,249,0
54,1,26629,4.0,255,0
55,1,26661,4.0,256,0
56,1,28158,4.0,269,0
57,1,28767,5.0,270,0
58,1,29123,3.0,275,0
59,1,29703,5.0,280,0
60,1,30681,5.0,289,0
61,1,31001,4.0,295,0
62,1,32055,4.0,301,0
63,1,32305,5.0,303,0
64,1,32592,4.0,308,0
65,1,32635,5.0,309,0
66,1,32748,5.0,311,0
67,1,32923,5.0,313,0
68,1,33065,4.0,314,0
69,1,33697,4.0,320,0
70,1,33716,5.0,321,0
71,1,33872,5.0,323,0
72,1,33890,3.0,324,0
73,1,37284,5.0,341,0
74,1,37834,5.0,344,0
75,1,38080,4.0,346,0
76,1,38082,5.0,347,0
77,1,38475,4.0,348,0
78,1,39423,3.0,354,0
79,1,41074,3.0,366,0
80,1,42404,5.0,372,0
81,1,43985,4.0,381,0
82,1,44243,2.0,382,0
83,1,44397,5.0,383,0
84,1,45269,4.0,385,0
85,1,45493,5.0,386,0
86,1,46977,4.0,395,0
87,1,47476,4.0,397,0
88,1,47746,5.0,401,0
89,1,47800,5.0,402,0
90,1,48482,3.0,408,0
91,1,49298,4.0,418,0
92,1,50104,5.0,425,0
93,1,50342,3.0,427,0
94,1,51166,4.0,432,0
95,1,51460,3.0,434,0
96,1,51480,1.0,435,0
97,1,51838,5.0,437,0
98,1,52036,2.0,439,0
99,1,53245,4.0,445,0
100,2,1169,3.0,9,1
101,2,3022,4.0,22,1
102,2,3922,5.0,29,1
103,2,5115,4.0,34,1
104,2,5436,5.0,37,1
105,2,5461,4.0,38,1
106,2,5885,4.0,41,1
107,2,6063,1.0,44,1
108,2,6342,3.0,47,1
109,2,6630,5.0,48,1
110,2,8167,2.0,57,1
111,2,9731,4.0,77,1
112,2,10111,5.0,83,1
113,2,10140,3.0,84,1
114,2,10288,5.0,89,1
115,2,10509,2.0,92,1
116,2,10610,5.0,93,1
117,2,10751,3.0,96,1
118,2,10944,5.0,98,1
119,2,11285,4.0,101,1
120,2,11408,5.0,102,1
121,2,11691,4.0,108,1
122,2,11692,3.0,109,1
123,2,11868,5.0,112,1
124,2,11927,5.0,113,1
125,2,11945,5.0,114,1
126,2,12874,4.0,122,1
127,2,12946,5.0,123,1
128,2,13282,5.0,131,1
129,2,13794,1.0,138,1
130,2,14372,3.0,149,1
131,2,14546,5.0,151,1
132,2,14603,4.0,152,1
133,2,15604,4.0,159,1
